"taxid","species_name","accession_num","seq_name","seq_len"
"933959","Andinoacara stalsbergi","","",""
"933957","Andinoacara sapayensis","","",""
"933956","Andinoacara latifrons","1780198812","",""
"880859","Paraneetroplus gibbiceps","","",""
"874364","Tylochromis intermedius","","",""
"870598","Crenicichla lacustris","295081684","",""
"870161","Coptodon snyderae","1061272804","",""
"870159","Coptodon bakossiorum","","",""
"863668","Neolamprologus walteri","","",""
"862240","Crenicichla ypo","","",""
"858759","Amphilophus sagittae","","",""
"858711","Amphilophus amarillo","","",""
"796932","Labidochromis ianthinus","","",""
"796931","Labidochromis flavigulis","","",""
"796772","Thorichthys socolofi","","",""
"796757","Mylochromis incola","","",""
"795477","Lamprologus tigripictilis","","",""
"795476","Teleogramma depressa","756130390","",""
"765726","Crenicichla hu","","",""
"765725","Crenicichla yaha","","",""
"765724","Crenicichla tesay","","",""
"765723","Crenicichla gaucho","","",""
"765722","Crenicichla mandelburgeri","","",""
"762803","Mazarunia mazarunii","","",""
"762800","Bujurquina hophrys","","",""
"762799","Bujurquina apoparuana","","",""
"762796","Thorichthys affinis","","",""
"762772","Hypsophrys nematopus","1519156281","",""
"762767","Gymnogeophagus setequedas","","",""
"762765","Guianacara stergiosi","","",""
"762763","Guianacara owroewefi","2037391099","",""
"762762","Geophagus taeniopareius","","",""
"762759","Geophagus harreri","2037390607","",""
"762757","Crenicichla reticulata","","",""
"762756","Crenicichla multispinosa","2037390981","",""
"762754","Crenicichla lenticulata","","",""
"762751","Chromidotilapia guntheri","313177765","",""
"762744","Apistogramma iniridae","","",""
"762740","Acaronia vultuosa","","",""
"762638","Cryptoheros cutteri","","",""
"762636","Cryptoheros chetumalensis","312295543","",""
"762061","Rubricatochromis letourneuxi","1707062007","",""
"762060","Crenicichla acutirostris","296012265","",""
"747757","Cichla vazzoleri","","",""
"747756","Cichla thyrorus","","",""
"747755","Cichla pleiozona","","",""
"747754","Cichla pinima","2624869519","",""
"747753","Cichla mirianae","1495844716","",""
"747752","Cichla melaniae","1495844710","",""
"747751","Cichla jariina","","",""
"745803","Satanoperca lilith","1495844880","",""
"745802","Heros efasciatus","1495844804","",""
"745343","Teleocichla gephyrogramma","","",""
"745342","Crenicichla vittata","973742993","",""
"745341","Crenicichla tendybaguassu","","",""
"745340","Crenicichla semifasciata","","",""
"745339","Crenicichla scottii","","",""
"745338","Crenicichla punctata","","",""
"745337","Crenicichla notophthalmus","","",""
"745336","Crenicichla missioneira","","",""
"745335","Crenicichla minuano","","",""
"745334","Crenicichla menezesi","1239413354","",""
"745333","Crenicichla macrophthalma","","",""
"745332","Crenicichla iguassuensis","","",""
"745331","Crenicichla empheres","","",""
"745330","Crenicichla compressiceps","","",""
"745329","Crenicichla celidochilus","","",""
"702365","Protomelas spilonotus","","",""
"691896","Dicrossus maculatus","","",""
"691893","Limbochromis robertsi","","",""
"683192","Interochromis loocki","","",""
"676247","Amphilophus astorquii","","",""
"676246","Amphilophus flaveolus","","",""
"676245","Amphilophus chancho","","",""
"673034","Vieja zonata","","",""
"673033","Vieja hartwegi","","",""
"673032","Vieja bifasciata","296012237","",""
"665440","Pterochromis congicus","","",""
"665437","Chilochromis duponti","","",""
"665432","Coptodon tholloni","1508229670","",""
"665431","Coelotilapia joka","768700921","",""
"665430","Tilapia guinasana","343223252","",""
"665429","Coptodon dageti","768700903","",""
"665425","Steatocranus ubanguiensis","","",""
"665420","Steatocranus glaber","","",""
"665419","Steatocranus gibbiceps","","",""
"665418","Steatocranus bleheri","","",""
"665417","Sarotherodon mvogoi","","",""
"665415","Pelmatochromis buettikoferi","","",""
"665414","Gobiocichla wonderi","","",""
"665408","Congolapia bilineata","1508229584","",""
"661982","Rocio octofasciata","670608882","",""
"613157","Cichla kelberi","1035495577","",""
"565375","Geophagus proximus","1495844784","",""
"565372","Geophagus megasema","","",""
"559353","Neolamprologus sexfasciatus","2892916004","",""
"559352","Neolamprologus obscurus","2892916007","",""
"559349","Lepidiolamprologus mimicus","","",""
"559347","Xenotilapia rotundiventralis","","",""
"559346","Xenotilapia papilio","","",""
"559345","Xenotilapia melanogenys","1009028419","",""
"559344","Xenotilapia leptura","2892915742","",""
"559343","Cyprichromis coloratus","","",""
"559342","Benthochromis horii","","",""
"547570","Haplochromis hiatus","","",""
"547569","Haplochromis iris","","",""
"543938","Haplochromis angustifrons","","",""
"543933","Schwetzochromis neodon","","",""
"543924","Haplochromis rudolfianus","","",""
"526995","Nyassachromis prostoma","","",""
"526960","Eclectochromis ornatus","","",""
"526958","Petrotilapia nigra","","",""
"526956","Buccochromis heterotaenia","","",""
"516076","Cichla piquiti","2624869525","",""
"454628","Rhamphochromis ferox","","",""
"454626","Rhamphochromis woodi","","",""
"452219","Xenochromis hecqui","","",""
"452215","Plecodus elaviae","","",""
"452213","Neolamprologus devosi","","",""
"451874","Nyassachromis microcephalus","","",""
"451872","Otopharynx lithobates","","",""
"451859","Sciaenochromis ahli","","",""
"451857","Chindongo flavus","","",""
"451856","Chindongo demasoni","1108491587","",""
"451848","Copadichromis trimaculatus","","",""
"451842","Copadichromis mloto","","",""
"451841","Copadichromis jacksoni","","",""
"451840","Copadichromis cyaneus","","",""
"449991","Wajpamheros nourissati","","",""
"449988","Mayaheros beani","","",""
"449328","Telmatochromis brichardi","","",""
"449327","Neolamprologus ventralis","619329172","",""
"449324","Neolamprologus prochilus","","",""
"449323","Neolamprologus pectoralis","","",""
"449322","Neolamprologus mustax","2892916009","",""
"449320","Neolamprologus longicaudatus","","",""
"449319","Neolamprologus falcicula","","",""
"449318","Neolamprologus bifasciatus","","",""
"449317","Julidochromis dickfeldi","","",""
"449287","Tahuantinsuyoa macantzatza","208479719","",""
"449282","Krobia guianensis","2037390443","",""
"449276","Nannacara taenia","208479717","",""
"449274","Nannacara aureocephalus","","",""
"449269","Cichlasoma pusillum","","",""
"449268","Cichlasoma araguaiense","","",""
"449267","Bujurquina syspilus","","",""
"449265","Bujurquina peregrinabunda","","",""
"449264","Aequidens tubicen","","",""
"449257","Aequidens potaroensis","","",""
"449256","Aequidens patricki","","",""
"449254","Aequidens chimantanus","","",""
"449250","Andinoacara biseriatus","","",""
"446522","Benitochromis ufermanni","","",""
"445558","Hemitilapia oxyrhynchus","","",""
"445512","Labidochromis gigas","","",""
"445511","Mylochromis mola","","",""
"445509","Chindongo elongatus","1108491591","",""
"445508","Placidochromis johnstoni","","",""
"445507","Maylandia aurora","","",""
"445506","Pseudotropheus crabro","","",""
"445505","Copadichromis mbenjii","","",""
"445504","Ctenopharynx pictus","","",""
"445503","Protomelas spilopterus","","",""
"445501","Docimodus evelynae","","",""
"441665","Rheoheros coeruleus","","",""
"441663","Parachromis friedrichsthalii","296751001","",""
"441656","Amphilophus xiloaensis","","",""
"441536","Maylandia fainzilberi","","",""
"441521","Maylandia pyrsonotos","","",""
"441520","Maylandia phaeos","","",""
"441518","Maylandia mbenjii","","",""
"441517","Maylandia hajomaylandi","1108491429","",""
"441516","Maylandia greshakei","","",""
"441515","Maylandia emmiltos","","",""
"441513","Maylandia chrysomallos","","",""
"441512","Maylandia benetos","","",""
"431670","Telmatochromis brachygnathus","2892915897","",""
"425697","Serranochromis longimanus","","",""
"422201","Protomelas virgatus","","",""
"420348","Cichlasoma dimerus","393661358","",""
"420112","Lamprologus ornatipinnis","","",""
"420109","Neolamprologus wauthioni","","",""
"420108","Neolamprologus leloupi","2892916018","",""
"420107","Neolamprologus multifasciatus","","",""
"420106","Lamprologus laparogramma","","",""
"420105","Lamprologus signatus","","",""
"409979","Perissodus eccentricus","","",""
"407193","Thorichthys maculipinnis","296012229","",""
"407111","Amphilophus istlanus","","",""
"399407","Vieja maculicauda","1519156439","",""
"399273","Tylochromis mylodon","","",""
"399272","Tylochromis bangwelensis","","",""
"399271","Tylochromis lateralis","1508230714","",""
"388460","Symphysodon tarzoo","","",""
"383918","Cincelichthys pearsei","","",""
"383917","Chuco intermedium","189165352","",""
"383916","Thorichthys pasionis","296012233","",""
"383915","Herichthys deppii","296012209","",""
"383914","Theraps irregularis","","",""
"378739","Gymnogeophagus meridionalis","393661436","",""
"350780","Uaru fernandezyepezi","","",""
"350777","Mesonauta festivus","208479745","",""
"342867","Apistogramma bitaeniata","949492905","",""
"342864","Thorichthys aureus","75994244","",""
"342863","Parachromis motaguensis","75994240","",""
"338890","Melanochromis vermivorus","","",""
"331646","Haplochromis paludinosus","","",""
"329924","Lamprologus teugelsi","","",""
"329923","Lepidiolamprologus kendalli","","",""
"329916","Neolamprologus buescheri","","",""
"329915","Lamprologus speciosus","","",""
"329339","Heroina isonycterina","","",""
"329337","Nandopsis tetracanthus","75994254","",""
"329336","Australoheros scitulus","","",""
"329334","Australoheros angiru","","",""
